epoch,accuracy,loss,mean_squared_error,val_accuracy,val_loss,val_mean_squared_error
0,0.2149122804403305,1.9107489585876465,0.12159053236246109,0.23232322931289673,1.8774064779281616,0.11958116292953491
1,0.2719298303127289,1.8350635766983032,0.11708860844373703,0.4040403962135315,1.8187155723571777,0.1166667491197586
2,0.3114035129547119,1.7958829402923584,0.11494039744138718,0.4141414165496826,1.6850626468658447,0.10794685781002045
3,0.359649121761322,1.5983202457427979,0.10247059911489487,0.4444444477558136,1.5078097581863403,0.09512277692556381
4,0.4254385828971863,1.4793943166732788,0.09502965211868286,0.5151515007019043,1.3592829704284668,0.08759339898824692
5,0.5043859481811523,1.3444374799728394,0.08637293428182602,0.5757575631141663,1.1545261144638062,0.07401309907436371
6,0.5438596606254578,1.227283239364624,0.0795247033238411,0.5555555820465088,1.0807057619094849,0.0700264647603035
7,0.5657894611358643,1.1729605197906494,0.07663397490978241,0.6161616444587708,1.013193964958191,0.06621146202087402
8,0.5833333134651184,1.0426996946334839,0.06959204375743866,0.6464646458625793,0.9873369932174683,0.06508893519639969
9,0.5964912176132202,0.9574545621871948,0.06529494374990463,0.6767676472663879,0.9474250078201294,0.06351666152477264
10,0.6754385828971863,0.8915737867355347,0.06162356212735176,0.6666666865348816,0.8981663584709167,0.05931248143315315
11,0.6184210777282715,0.8579353094100952,0.06163552775979042,0.7373737096786499,0.8624855875968933,0.05498266592621803
12,0.6578947305679321,0.8602069616317749,0.05895319581031799,0.6666666865348816,0.8319028615951538,0.05540234223008156
13,0.6842105388641357,0.7389972805976868,0.05335317179560661,0.7676767706871033,0.8789485096931458,0.05493554100394249
14,0.7149122953414917,0.7310082316398621,0.054162535816431046,0.8181818127632141,0.7953219413757324,0.048389825969934464
15,0.6885964870452881,0.8076660633087158,0.053678955882787704,0.7575757503509521,0.7419282793998718,0.04844745993614197
16,0.7149122953414917,0.6951931715011597,0.05020894482731819,0.7676767706871033,0.7885280847549438,0.050927065312862396
17,0.6754385828971863,0.7578293085098267,0.053533654659986496,0.7777777910232544,0.8059266805648804,0.049370914697647095
18,0.7368420958518982,0.6098229289054871,0.045027557760477066,0.6969696879386902,0.7644751071929932,0.04957034811377525
19,0.75,0.6666041612625122,0.04742363840341568,0.8282828330993652,0.7333813905715942,0.04551491141319275
20,0.7368420958518982,0.6281362771987915,0.04523303732275963,0.7777777910232544,0.90154629945755,0.04873543605208397
21,0.75,0.6072688698768616,0.04260404407978058,0.7979797720909119,0.7297850251197815,0.045788127928972244
22,0.7412280440330505,0.5864047408103943,0.04501854255795479,0.7373737096786499,0.7847204208374023,0.04698500409722328
23,0.7412280440330505,0.5708824396133423,0.04256780818104744,0.7979797720909119,0.7983245253562927,0.04606234282255173
24,0.7719298005104065,0.5279024243354797,0.03986407071352005,0.7979797720909119,0.780415952205658,0.043031200766563416
25,0.7763158082962036,0.5783386826515198,0.04121440649032593,0.7878788113594055,0.8833422660827637,0.04223296791315079
26,0.780701756477356,0.45290839672088623,0.033559855073690414,0.8282828330993652,0.7908419370651245,0.03919582813978195
27,0.7456140518188477,0.5415170192718506,0.04046981409192085,0.7979797720909119,0.8313217163085938,0.040973812341690063
28,0.7719298005104065,0.5619353652000427,0.04365475848317146,0.7878788113594055,0.9001812934875488,0.04334566742181778
